id,input,expected_output,complexity,operations,risk_level,domain
sq_001,How many claims were filed last year?,"SELECT COUNT(*) as total_claims FROM claims WHERE strftime('%Y', filed_date) = strftime('%Y', date('now', '-1 year'))",Simple,Filter,Low,Insurance
sq_002,What is the total amount of high-risk claims that are still open?,SELECT SUM(amount) as total_open_high_risk FROM claims WHERE risk_level = 'High' AND status = 'Open',Simple,Filter,Medium,Insurance
sq_003,Which adjuster has handled the most claims?,"SELECT a.name, COUNT(c.claim_id) as claim_count FROM claims c JOIN adjusters a ON c.adjuster_id = a.adjuster_id GROUP BY a.adjuster_id, a.name ORDER BY claim_count DESC LIMIT 1",Medium,"Join, GroupBy",Low,Insurance
sq_004,What is the distribution of claims by risk level?,"SELECT risk_level, COUNT(*) as count, ROUND(100.0 * COUNT(*) / (SELECT COUNT(*) FROM claims), 2) as percentage FROM claims GROUP BY risk_level ORDER BY risk_level",Medium,"GroupBy, Subquery",Low,Insurance
sq_005,How much fraud savings have been captured from resolved fraud flags?,"SELECT SUM(savings) as total_fraud_savings, COUNT(*) as resolved_flags FROM fraud_flags WHERE resolved = 1",Simple,Filter,High,Insurance
sq_006,What are the top 3 fraud flag types by frequency?,"SELECT flag_type, COUNT(*) as frequency FROM fraud_flags GROUP BY flag_type ORDER BY frequency DESC LIMIT 3",Simple,GroupBy,High,Insurance
sq_007,"Show me all claims with amounts over $50,000 that have not been resolved yet","SELECT claim_id, policy_id, filed_date, amount, status, risk_level FROM claims WHERE amount > 50000 AND status IN ('Open', 'Under Review') ORDER BY amount DESC",Simple,Filter,High,Insurance
sq_008,Which department has the highest average claim amount?,"SELECT a.department, ROUND(AVG(c.amount), 2) as avg_claim_amount FROM claims c JOIN adjusters a ON c.adjuster_id = a.adjuster_id GROUP BY a.department ORDER BY avg_claim_amount DESC LIMIT 1",Medium,"Join, GroupBy",Low,Insurance
sq_009,How many policies are currently active versus expired?,"SELECT status, COUNT(*) as count FROM policies WHERE status IN ('Active', 'Expired') GROUP BY status",Simple,"GroupBy, Filter",Low,Insurance
sq_010,What is the average time to resolve a claim in days?,"SELECT ROUND(AVG(julianday(resolved_date) - julianday(filed_date)), 1) as avg_days_to_resolve FROM claims WHERE resolved_date IS NOT NULL",Medium,Filter,Low,Insurance
sq_011,"List all claims that have been flagged for fraud and are still unresolved, along with the claim amount and flag type","SELECT c.claim_id, c.amount, c.status, ff.flag_type, ff.flagged_at FROM claims c JOIN fraud_flags ff ON c.claim_id = ff.claim_id WHERE ff.resolved = 0 ORDER BY c.amount DESC",Complex,"Join, Filter",High,Insurance
sq_012,Which region has the highest number of high-risk claims per adjuster?,"SELECT a.region, ROUND(CAST(COUNT(c.claim_id) AS REAL) / COUNT(DISTINCT a.adjuster_id), 2) as high_risk_claims_per_adjuster FROM claims c JOIN adjusters a ON c.adjuster_id = a.adjuster_id WHERE c.risk_level = 'High' GROUP BY a.region ORDER BY high_risk_claims_per_adjuster DESC",Complex,"Join, GroupBy, Filter, Subquery",Medium,Insurance
